p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
12,9000,0,2.0180493e-05,0.40010228,2.6532345e-07,1.7113311e-06,69.913528
12,9000,1,0.38955518,0.39626638,0.27817356,0.030702972,80.883036
12,9000,2,1.0523575,0.39027684,0.2383567,0.063906953,89.386085
12,9000,3,1.5387302,0.39637448,0.20130716,0.097593854,103.23492
6,12000,0,1.8175174e-05,0.69406248,1.747782e-07,1.5765222e-06,380.80679
6,12000,1,0.98234027,0.70475483,0.39454826,0.13600295,484.66887
6,12000,2,2.1184508,0.62308864,0.30319547,0.24197747,600.50105
6,12000,3,4.4506916,0.73552401,0.24266413,0.40072616,698.44429
8,12000,0,1.5535072e-05,0.62642753,2.3579923e-07,1.3695681e-06,272.67525
8,12000,1,0.99416977,0.73197125,0.40521403,0.099224891,316.54972
8,12000,2,2.1656953,0.75152676,0.35765176,0.21324236,356.12167
8,12000,3,3.5653826,0.7127885,0.2933747,0.31079245,407.09602
10,12000,0,2.4933107e-05,0.75429677,2.8872862e-07,1.434274e-06,183.02311
10,12000,1,0.92650374,0.71257195,0.5100766,0.08446272,210.46075
10,12000,2,2.0062652,0.69578463,0.41941319,0.15618055,232.91786
10,12000,3,2.649431,0.76224062,0.2833824,0.19117438,267.62664
12,12000,0,2.1841675e-05,0.70316231,2.47693e-07,1.3647627e-06,140.92108
12,12000,1,0.70399923,0.72333119,0.48526077,0.053664282,161.78357
12,12000,2,1.8730727,0.71507621,0.40865929,0.11290233,180.62766
12,12000,3,2.7433192,0.73099373,0.34802947,0.1707917,205.10525
6,3000,0,7.5119444e-06,0.040800814,2.0230396e-07,9.8730541e-07,6.5674025
6,3000,1,0.052477092,0.044536661,0.026322967,0.011099634,9.6574834
6,3000,2,0.12225422,0.04032474,0.020171213,0.018824369,13.443699
6,3000,3,0.2710926,0.048238607,0.01924401,0.02632137,15.788994
8,3000,0,6.4260093e-06,0.039904729,2.0797597e-07,9.7521115e-07,6.7362619
8,3000,1,0.054342563,0.047803868,0.026314325,0.0068991132,7.8673418
8,3000,2,0.13552987,0.04934304,0.024706531,0.014245528,8.7219843
8,3000,3,0.23572323,0.048446309,0.020983257,0.020588026,10.381034
10,3000,0,5.9663691e-06,0.048654165,2.3536384e-07,9.2888251e-07,5.122727
10,3000,1,0.053486071,0.048309717,0.041866032,0.0054042767,6.1120951
10,3000,2,0.12226097,0.045053195,0.032854933,0.010746615,7.0247957
10,3000,3,0.19008115,0.05010015,0.023162773,0.013640594,8.3472423
12,3000,0,5.2383532e-06,0.044528823,2.4645124e-07,9.1213992e-07,4.5371812
12,3000,1,0.041281074,0.050364904,0.03731389,0.0037583945,5.4253879
12,3000,2,0.10529838,0.050015533,0.033660207,0.0083428335,6.0291951
12,3000,3,0.17353511,0.049924113,0.028661234,0.010534888,7.2392941
6,6000,0,1.5837347e-05,0.17154357,2.6573737e-07,1.2929862e-06,48.137314
6,6000,1,0.22235249,0.17359639,0.098548448,0.036875099,64.660883
6,6000,2,0.48879617,0.15849724,0.073295802,0.062199493,84.249165
6,6000,3,1.1006059,0.18504989,0.063172362,0.10002371,100.08992
8,6000,0,1.21216e-05,0.15833297,1.9735307e-07,1.1392694e-06,40.521061
8,6000,1,0.23686391,0.18744277,0.097594239,0.024453578,48.379548
8,6000,2,0.53567136,0.18671377,0.0908995,0.054196471,54.395178
8,6000,3,0.88369947,0.18114407,0.075437092,0.079078483,62.771244
10,6000,0,1.9286182e-05,0.18713354,2.4853274e-07,1.1610799e-06,27.776425
10,6000,1,0.22452933,0.18097475,0.13657339,0.020955305,32.848622
10,6000,2,0.48898016,0.1896497,0.1127665,0.040512508,37.023283
10,6000,3,0.67411472,0.19754177,0.075657445,0.048343861,43.860245
12,6000,0,1.7387831e-05,0.17870669,2.2024485e-07,1.0583964e-06,23.315347
12,6000,1,0.19068739,0.18340733,0.13603549,0.015251277,27.660931
12,6000,2,0.44025152,0.18843322,0.11518743,0.030884468,30.544837
12,6000,3,0.70796512,0.19513409,0.091577692,0.044467807,35.826116
6,9000,0,1.7408178e-05,0.37671329,2.115137e-07,1.6861078e-06,164.70665
6,9000,1,0.52934497,0.37745976,0.2180706,0.078182621,215.16035
6,9000,2,1.1478042,0.34251801,0.16744292,0.13625027,272.21109
6,9000,3,2.4595982,0.40076901,0.13919791,0.22644365,315.40009
8,9000,0,1.3306941e-05,0.33927257,2.3236498e-07,1.8587743e-06,144.70687
8,9000,1,0.54841265,0.400576,0.22246204,0.055733848,168.05843
8,9000,2,1.2219261,0.40454134,0.20340471,0.12025258,191.66842
8,9000,3,2.0022354,0.41101181,0.16850884,0.17586379,217.6135
10,9000,0,2.0168126e-05,0.40123238,3.4306198e-07,1.6478077e-06,81.766411
10,9000,1,0.51358226,0.39754479,0.29279253,0.04682377,95.506124
10,9000,2,1.1220248,0.37433862,0.24062347,0.089708911,106.50549
10,9000,3,1.5131477,0.39846257,0.15747218,0.10797065,122.85616
12,9000,0,2.1488263e-05,0.37603143,2.9794561e-07,1.8235425e-06,69.447779
12,9000,1,0.38688753,0.39815812,0.28256336,0.030655599,80.789814
12,9000,2,1.0693933,0.39184647,0.23744577,0.065552282,89.046078
12,9000,3,1.5358415,0.40107406,0.20187445,0.096207354,102.81396
